City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olonkinbyen,70.9221,-8.7187,35.62,74,100,11.32,SJ,1698728357
1,thompson,55.7435,-97.8558,19.56,73,100,6.91,CA,1698728357
2,misratah,32.3754,15.0925,72.0,62,2,14.5,LY,1698728357
3,port elizabeth,-33.918,25.5701,62.31,75,0,13.8,ZA,1698728357
4,afaahiti,-17.75,-149.2833,78.67,83,37,20.69,PF,1698728357
5,datong,40.0936,113.2914,66.2,20,12,14.58,CN,1698728358
6,jhargram,22.45,86.9833,82.78,54,1,5.82,IN,1698728358
7,kapa'a,22.0752,-159.319,79.12,75,40,9.22,US,1698728358
8,bushehr,28.9684,50.8385,78.89,47,75,4.61,IR,1698728358
9,ilulissat,69.2167,-51.1,27.73,61,9,12.77,GL,1698728359
10,sao vicente,-23.9631,-46.3919,86.18,26,93,3.83,BR,1698728283
11,puerto natales,-51.7236,-72.4875,31.82,80,1,3.87,CL,1698728074
12,port-aux-francais,-49.35,70.2167,39.27,87,100,37.94,TF,1698728360
13,adamstown,-25.066,-130.1015,73.06,79,100,7.94,PN,1698728360
14,sosnogorsk,63.6023,53.8817,15.55,99,98,3.0,RU,1698728360
15,bilibino,68.0546,166.4372,1.18,80,71,3.56,RU,1698728361
16,tacna,-18.0056,-70.2483,56.3,85,35,2.95,PE,1698728362
17,shengli,37.4564,118.4856,83.21,25,1,12.15,CN,1698728362
18,ouallam,14.3188,2.0866,81.14,13,63,10.42,NE,1698728362
19,tionk essil,12.7856,-16.5217,76.96,85,92,3.85,SN,1698728363
20,waitangi,-43.9535,-176.5597,55.81,87,100,14.0,NZ,1698728363
21,grytviken,-54.2811,-36.5092,36.77,83,72,6.22,GS,1698728363
22,arzgir,45.3728,44.2206,54.32,77,11,7.56,RU,1698728363
23,alofi,-19.0595,-169.9187,78.69,69,75,11.5,NU,1698728364
24,london,51.5085,-0.1257,48.49,93,20,4.61,GB,1698728080
25,bamboo flat,11.7,92.7167,86.09,79,40,8.05,IN,1698728364
26,mata-utu,-13.2816,-176.1745,83.73,76,11,15.23,WF,1698728364
27,port blair,11.6667,92.75,86.04,79,40,8.05,IN,1698728364
28,castillos,-34.1667,-53.8333,56.25,84,100,14.16,UY,1698728365
29,newman,37.3138,-121.0208,60.03,10,12,3.22,US,1698728365
30,hawaiian paradise park,19.5933,-154.9731,76.51,93,100,5.75,US,1698728365
31,talnakh,69.4865,88.3972,4.21,96,99,4.81,RU,1698728365
32,bismarck,46.8083,-100.7837,16.81,70,20,21.85,US,1698728366
33,kapuskasing,49.4169,-82.4331,21.29,79,75,5.75,CA,1698728366
34,edinburgh of the seven seas,-37.0676,-12.3116,57.33,94,94,25.41,SH,1698728366
35,chonchi,-42.6128,-73.8092,35.11,96,6,0.96,CL,1698728366
36,luderitz,-26.6481,15.1594,63.21,45,1,2.42,NA,1698728366
37,smara,26.7384,-11.6719,71.62,47,50,6.17,EH,1698728367
38,tazovsky,67.4667,78.7,3.76,96,35,5.86,RU,1698728367
39,hasaki,35.7333,140.8333,70.2,53,44,5.5,JP,1698728367
40,walvis bay,-22.9575,14.5053,58.15,94,100,1.14,NA,1698728367
41,port macquarie,-31.4333,152.9167,80.89,65,88,10.76,AU,1698728367
42,papatowai,-46.5619,169.4708,56.68,72,93,3.24,NZ,1698728368
43,yima,34.7381,111.8839,77.61,29,51,7.58,CN,1698728368
44,suva,-18.1416,178.4415,81.88,78,75,8.05,FJ,1698728306
45,udachny,66.4167,112.4,-2.54,95,99,7.07,RU,1698728368
46,stanley,54.868,-1.6985,42.82,92,100,8.05,GB,1698728368
47,ushuaia,-54.8,-68.3,38.86,96,100,10.36,AR,1698728369
48,punta arenas,-53.15,-70.9167,32.11,74,0,8.05,CL,1698728369
49,codrington,-38.2667,141.9667,57.6,50,79,16.55,AU,1698728369
50,falam,22.9167,93.6833,74.71,50,17,3.65,MM,1698728369
51,tiksi,71.6872,128.8694,-4.22,100,89,2.73,RU,1698728369
52,isafjordur,66.0755,-23.124,34.63,72,35,3.6,IS,1698728370
53,albany,42.6001,-73.9662,41.67,83,92,7.4,US,1698728342
54,buka,40.8108,69.1986,57.27,71,100,11.97,UZ,1698728370
55,thunder bay,48.4001,-89.3168,26.58,59,100,6.91,CA,1698728227
56,igarka,67.4667,86.5833,3.45,93,98,4.34,RU,1698728370
57,iqaluit,63.7506,-68.5145,11.93,72,100,21.85,CA,1698728371
58,preobrazheniye,42.9019,133.9064,58.37,80,40,9.1,RU,1698728371
59,georgetown,5.4112,100.3354,91.33,70,20,9.22,MY,1698728371
60,anadyr,64.75,177.4833,34.3,93,20,2.24,RU,1698728371
61,viedma,-40.8135,-62.9967,41.49,79,3,6.71,AR,1698728137
62,balqash,46.8481,74.995,46.99,87,40,17.9,KZ,1698728372
63,wailua homesteads,22.0669,-159.378,77.79,75,40,9.22,US,1698728372
64,labrador city,52.9463,-66.9114,19.31,68,75,5.75,CA,1698728142
65,invercargill,-46.4,168.35,60.03,73,100,11.01,NZ,1698728372
66,cidreira,-30.1811,-50.2056,64.04,90,100,11.9,BR,1698728372
67,ribeira grande,38.5167,-28.7,67.77,85,48,13.0,PT,1698728373
68,joal-fadiout,14.1667,-16.8333,80.62,77,43,7.16,SN,1698728373
69,whistler,50.1164,-122.9695,36.55,69,16,1.81,CA,1698728373
70,taoudenni,22.6783,-3.9836,82.63,13,5,9.6,ML,1698728373
71,tolanaro,-25.0319,46.9987,71.67,94,75,6.91,MG,1698728373
72,kupang,-10.1667,123.5833,91.98,55,40,10.36,ID,1698728374
73,blackmans bay,-43.0167,147.3167,59.52,54,85,3.0,AU,1698728374
74,colesberg,-30.72,25.0972,49.87,67,42,9.55,ZA,1698728374
75,mar del plata,-38.0023,-57.5575,51.94,69,0,3.0,AR,1698728278
76,sedan,49.6667,5.0,46.18,99,95,8.43,FR,1698728374
77,sidrolandia,-20.9319,-54.9614,76.78,74,83,5.5,BR,1698728375
78,klyuchi,52.2667,79.1667,43.03,92,100,6.13,RU,1698728375
79,west island,-12.1568,96.8225,82.38,78,75,14.97,CC,1698728375
80,fort st. john,56.2499,-120.8529,35.49,60,75,5.75,CA,1698728347
81,as samawah,31.332,45.2944,80.1,31,66,3.83,IQ,1698728375
82,san juan,-31.5375,-68.5364,57.13,26,1,11.41,AR,1698728376
83,el calafate,-50.3408,-72.2768,38.55,65,20,3.47,AR,1698728376
84,longyearbyen,78.2186,15.6401,31.84,80,75,23.02,SJ,1698728376
85,freetown,8.484,-13.2299,78.46,85,36,4.74,SL,1698728376
86,utrik,11.2278,169.8474,82.51,80,100,18.77,MH,1698728376
87,constantia,44.1833,28.65,52.7,88,3,7.81,RO,1698728377
88,pisco,-13.7,-76.2167,66.25,82,12,12.66,PE,1698728377
89,pangody,65.85,74.4859,9.14,93,53,6.76,RU,1698728377
90,al kharijah,25.4514,30.5464,73.62,53,0,6.58,EG,1698728377
91,vila franca do campo,37.7167,-25.4333,66.88,99,63,11.5,PT,1698728377
92,aykhal,66.0,111.5,-4.97,98,99,8.7,RU,1698728378
93,enewetak,11.3474,162.3373,82.65,81,100,20.67,MH,1698728378
94,inhambane,-23.865,35.3833,68.0,88,75,11.99,MZ,1698728378
95,hadibu,12.65,54.0333,80.6,72,95,9.04,YE,1698728378
96,kavieng,-2.5744,150.7967,80.71,80,92,10.45,PG,1698728378
97,stephenville,32.2207,-98.2023,40.93,74,0,0.0,US,1698728379
98,teuva,62.4819,21.7416,21.58,92,100,8.46,FI,1698728379
99,east london,-33.0153,27.9116,58.93,78,18,10.31,ZA,1698728379
100,dickinson,29.4608,-95.0513,50.99,84,100,18.41,US,1698728379
101,mount gambier,-37.8333,140.7667,58.57,44,77,10.22,AU,1698728379
102,badger,64.8,-147.5333,30.45,93,75,0.0,US,1698728380
103,rechytsa,52.3617,30.3916,44.71,89,100,6.24,BY,1698728255
104,bethel,41.3712,-73.414,48.07,78,20,4.61,US,1698728102
105,novodvinsk,64.4165,40.8122,16.79,97,63,4.61,RU,1698728380
106,kone,-21.0595,164.8658,76.51,54,23,8.5,NC,1698728380
107,princeville,45.7668,-61.2985,39.63,97,100,4.61,CA,1698728380
108,nuuk,64.1835,-51.7216,38.3,61,100,14.47,GL,1698728381
109,severo-yeniseyskiy,60.3725,93.0408,9.57,79,38,3.0,RU,1698728381
110,keflavik,64.0049,-22.5624,36.03,80,40,11.5,IS,1698728381
111,aswan,24.0934,32.907,74.5,56,0,0.0,EG,1698728382
112,tuma,55.148,40.5537,42.94,94,93,6.62,RU,1698728382
113,yellowknife,62.456,-114.3525,23.56,99,20,5.75,CA,1698728383
114,san patricio,28.017,-97.5169,49.86,62,100,12.19,US,1698728383
115,waingapu,-9.6567,120.2641,89.69,54,2,13.29,ID,1698728384
116,aasiaat,68.7098,-52.8699,23.65,73,27,16.02,GL,1698728384
117,saint-pierre,-21.3393,55.4781,82.56,65,0,4.61,RE,1698728384
118,lebu,-37.6167,-73.65,44.06,84,90,9.01,CL,1698728384
119,valparaiso,-33.0393,-71.6273,53.24,76,0,2.3,CL,1698728385
120,dolinsk,47.35,142.8,51.73,66,36,5.39,RU,1698728385
121,karratha,-20.7377,116.8463,92.1,29,40,17.58,AU,1698728385
122,vilyuchinsk,52.9306,158.4028,43.07,65,17,6.71,RU,1698728385
